Year,Month,Day,Precipitation,Relative Humidity,Pressure,Temp_avg,Temp_min,Temp_max
2009,January,1,0.15,72.07,99.43,9.86,4.9,14.92
2009,January,2,0.11,63.27,98.94,11.45,8.61,15.95
2009,January,3,0.12,72.29,98.53,11.41,6.22,16.77
2009,January,4,3.98,78.63,98.14,11.2,8.31,16.33
2009,January,5,0.08,65.45,98.23,9.34,5.82,15.31
2009,January,6,0.22,62.21,98.36,8.34,4.42,13.76
2009,January,7,1.3,69.82,98.19,7.04,4.82,10.66
2009,January,8,0.11,57.7,98.29,9.14,5.52,15.77
2009,January,9,1.02,63.59,98.64,8.88,4.59,13.68
2009,January,10,0,56.84,98.93,8.23,2.31,15.44
2009,January,11,0.07,57.08,98.88,8.92,5.05,14.76
2009,January,12,11.46,77.14,98.16,9.52,6.59,11.64
2009,January,13,7.69,69.22,97.86,11.69,6.75,16.94
2009,January,14,0.23,73.93,98.61,7.63,2.8,13.45
2009,January,15,0.01,64.73,98.84,8.37,3.16,14.77
2009,January,16,0,64.51,99.03,7.94,2.69,13.45
2009,January,17,0,64.28,99.08,7.81,2.67,14.27
2009,January,18,0.02,65.6,99.02,10.4,6.31,16.39
2009,January,19,0,77.2,98.81,9.39,5.31,15.98
2009,January,20,15.58,83.75,97.52,9.76,5.82,15.07
2009,January,21,40.9,81.57,97.13,7.62,6.04,8.87
2009,January,22,4.42,64.45,98.08,8.53,5.1,13.16
2009,January,23,0.22,80.6,97.92,12.85,5.98,19.9
2009,January,24,0.02,66.41,97.64,13.42,9.54,18.69
2009,January,25,0.02,69.42,97.82,9.52,5.45,14.57
2009,January,26,1.55,65.85,97.78,8.63,4.27,13.37
2009,January,27,0.08,67.78,98.18,7.14,2.05,13.27
2009,January,28,0.07,74.99,98.46,8.22,2.56,15.25
2009,January,29,0.04,76.36,98.48,10.84,4.83,18.77
2009,January,30,0.02,73.27,98.5,12.2,6.74,19.26
2009,January,31,7.92,74.27,97.97,10.63,6.26,16.96
2009,February,1,1.35,69,97.6,7.93,2.59,13.48
2009,February,2,1.42,67.83,97,10.41,5.55,16.06
2009,February,3,1.4,70.31,97.31,10.43,6.06,16.06
2009,February,4,0,66.23,97.96,10.77,4.87,18.04
2009,February,5,0.09,63.52,97.63,11.05,6.89,17.31
2009,February,6,0.81,63.59,97.34,11.58,6.16,19.29
2009,February,7,0.64,62.1,97.34,7.85,3.6,12.44
2009,February,8,0.25,65.58,97.96,5.72,0.98,10.77
2009,February,9,0,69.92,98.99,9.5,1.63,18.1
2009,February,10,0,64.37,98.99,11.57,5.04,19.41
2009,February,11,0.03,57,98.77,11.15,6.62,18.11
2009,February,12,0.27,60.72,98.44,9.86,4.24,17
2009,February,13,0.16,62.89,98.54,7.55,2.26,15.13
2009,February,14,0.03,55.58,98.66,7.91,1,16.11
2009,February,15,0,58.57,98.78,8.3,2.62,15.5
2009,February,16,0,57.34,99.13,6.13,1.39,11.2
2009,February,17,0,54.53,98.93,7.68,2.17,14.8
2009,February,18,0,58.79,98.79,8.41,0.98,17.58
2009,February,19,0,53.18,98.91,10.2,3.23,17.81
2009,February,20,0,56.49,99.13,10.4,4.11,17.14
2009,February,21,0.05,65.8,99.29,8.55,3.07,13.73
2009,February,22,0.11,61.97,99.26,8.51,2.76,15.47
2009,February,23,0.02,59.58,98.7,9.7,3.46,17.58
2009,February,24,0.05,61.17,98.36,10.08,4.03,18.46
2009,February,25,0.06,56.07,99.09,9.45,3.63,17.39
2009,February,26,0.01,54.14,99.67,7.7,1.7,14.77
2009,February,27,0,47.6,99.2,8.77,2.49,17.63
2009,February,28,5.52,51.38,98.9,9.18,3.37,15.93
2009,March,1,0.01,61.74,98.61,11.85,5.4,19.28
2009,March,2,0,59.28,98.73,14.09,7.15,22.15
2009,March,3,0,57.51,98.4,13.55,8.61,20.32
2009,March,4,1.48,53.66,97.18,12.82,7.77,18.73
2009,March,5,3.49,58.49,96.73,12.25,8.19,17.09
2009,March,6,1.15,52.31,97.13,8.9,4.57,13.52
2009,March,7,0.02,51.09,97.97,8.72,2.91,16.37
2009,March,8,0.01,59.27,98.69,11.02,3,19.83
2009,March,9,0,49.87,98.83,13.44,6.3,21.53
2009,March,10,0,46.71,99.06,13.94,10.61,19.85
2009,March,11,0,41.87,98.88,15.17,9.82,23.92
2009,March,12,0,45.2,98.99,13.9,7.21,21.38
2009,March,13,0,54.61,99.38,12.89,6.38,19.88
2009,March,14,0,47.6,99.06,15.4,8.53,24.21
2009,March,15,0,46.93,98.89,16.2,9.8,23.35
2009,March,16,3.52,42.26,98.52,15.71,9.1,23.94
2009,March,17,16.5,72.72,98.89,12.36,8.3,16.96
2009,March,18,0,52.7,99,13.07,6.5,19.8
2009,March,19,0.01,61.17,98.92,11.73,5.93,18.22
2009,March,20,0,50.18,98.35,13.31,4.99,23.39
2009,March,21,0.01,47.88,98.54,11.56,5.37,20.08
2009,March,22,0,43.72,99.01,9.38,1.51,17.43
2009,March,23,0,45.28,99.21,9.05,2.96,15.52
2009,March,24,0,41.28,98.48,12.07,4.83,20.59
2009,March,25,0,42.35,98.34,14.35,5.6,23.07
2009,March,26,0,42.82,98.51,15.59,8,23.96
2009,March,27,0.39,50.22,98.37,16.42,10.38,23.24
2009,March,28,5.74,79.51,97.6,17.47,12.89,22.23
2009,March,29,14.91,62.67,97.5,18.2,12.75,25.13
2009,March,30,0.14,64.59,97.69,16.57,12.15,22.44
2009,March,31,0.17,50.02,97.88,13.91,8.93,19.95
2009,April,1,0.01,51.66,98.15,12.86,6.17,19.63
2009,April,2,0.75,53.42,98.44,13.11,7.27,19.15
2009,April,3,0.08,58.45,98.58,13.42,7.56,19.7
2009,April,4,0.83,57.36,98.72,13.63,8.86,19.39
2009,April,5,0.02,53.36,99.01,13.82,6.77,20.82
2009,April,6,0.01,45.88,98.81,15.37,7.97,23.25
2009,April,7,1.03,59.12,98.45,14.5,9.23,21.98
